30-Apr-2021 14:23:41: Starting analysis of 5011CEM2021balodea2/Model/o3_surface_20180701000000.nc
30-Apr-2021 14:23:42: Success processing data hour 1
30-Apr-2021 14:23:42: Success processing data hour 1
30-Apr-2021 14:23:43: Success processing data hour 2
30-Apr-2021 14:23:43: Success processing data hour 2
30-Apr-2021 14:23:44: Success processing data hour 3
30-Apr-2021 14:23:44: Success processing data hour 3
30-Apr-2021 14:23:45: Success processing data hour 4
30-Apr-2021 14:23:45: Success processing data hour 4
30-Apr-2021 14:23:46: Success processing data hour 5
30-Apr-2021 14:23:46: Success processing data hour 5
30-Apr-2021 14:23:47: Success processing data hour 6
30-Apr-2021 14:23:47: Success processing data hour 6
30-Apr-2021 14:23:48: Success processing data hour 7
30-Apr-2021 14:23:48: Success processing data hour 7
30-Apr-2021 14:23:49: Success processing data hour 8
30-Apr-2021 14:23:49: Success processing data hour 8
30-Apr-2021 14:23:50: Success processing data hour 9
30-Apr-2021 14:23:50: Success processing data hour 9
30-Apr-2021 14:23:51: Success processing data hour 10
30-Apr-2021 14:23:51: Success processing data hour 10
30-Apr-2021 14:23:53: Success processing data hour 11
30-Apr-2021 14:23:53: Success processing data hour 11
30-Apr-2021 14:23:54: Success processing data hour 12
30-Apr-2021 14:23:54: Success processing data hour 12
30-Apr-2021 14:23:55: Success processing data hour 13
30-Apr-2021 14:23:55: Success processing data hour 13
30-Apr-2021 14:23:56: Success processing data hour 14
30-Apr-2021 14:23:56: Success processing data hour 14
30-Apr-2021 14:23:57: Success processing data hour 15
30-Apr-2021 14:23:57: Success processing data hour 15
30-Apr-2021 14:23:58: Success processing data hour 16
30-Apr-2021 14:23:58: Success processing data hour 16
30-Apr-2021 14:23:59: Success processing data hour 17
30-Apr-2021 14:23:59: Success processing data hour 17
30-Apr-2021 14:24:00: Success processing data hour 18
30-Apr-2021 14:24:00: Success processing data hour 18
30-Apr-2021 14:24:01: Success processing data hour 19
30-Apr-2021 14:24:01: Success processing data hour 19
30-Apr-2021 14:24:02: Success processing data hour 20
30-Apr-2021 14:24:02: Success processing data hour 20
30-Apr-2021 14:24:03: Success processing data hour 21
30-Apr-2021 14:24:03: Success processing data hour 21
30-Apr-2021 14:24:05: Success processing data hour 22
30-Apr-2021 14:24:05: Success processing data hour 22
30-Apr-2021 14:24:06: Success processing data hour 23
30-Apr-2021 14:24:06: Success processing data hour 23
30-Apr-2021 14:24:07: Success processing data hour 24
30-Apr-2021 14:24:07: Success processing data hour 24
30-Apr-2021 14:24:08: Success processing data hour 25
30-Apr-2021 14:24:08: Success processing data hour 25
